标准关系编号,头标准实体编号,头实体标准名,头实体类型,关系类型,尾标准实体编号,尾实体标准名,尾实体类型,证据句,来源文档,来源页码,置信度,出现次数,抽取方法,复核状态,原始关系编号
SR0093,SE0306,流动分离,专业概念,包括,SE0327,诱导阻力,性能指标,起的局部流动分离导致的，同时，含连杆构型的诱导阻力系数相较于不包含连,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0211
SR0094,SE0306,流动分离,专业概念,包括,SE0337,阻力,性能指标,起的局部流动分离导致的，同时，含连杆构型的诱导阻力系数相较于不包含连,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0453
SR0095,SE0306,流动分离,专业概念,包括,SE0338,阻力系数,性能指标,起的局部流动分离导致的，同时，含连杆构型的诱导阻力系数相较于不包含连,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0212
SR0096,SE0225,环境自适应特性,控制方法,包括,SE0075,柔性变形,变形方式,环境自适应特性。飞行器的柔性变形主要包括,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,6,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0333
SR0097,SE0080,简单机械变形,变形方式,包括,SE0058,变形方式,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0096
SR0098,SE0080,简单机械变形,变形方式,包括,SE0063,多维度柔性变形,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0094
SR0099,SE0080,简单机械变形,变形方式,包括,SE0065,头部变体,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0099
SR0100,SE0080,简单机械变形,变形方式,包括,SE0072,机翼变体,变形方式,发展分为简单机械变形、多维度柔性变形2 个阶段。其次，按照变体部位和变形方式详细介绍了头部变体、机翼变体、动,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,1,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0100
SR0101,SE0167,结构强度,结构部件,包括,SE0093,双翼,气动布局,和支柱，使机翼组成桁架式结构，增加结构强度。双翼机在二十世纪三十年代,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,52,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0183
SR0102,SE0168,结构设计,结构部件,包括,SE0012,单-双折叠翼变体飞行器,飞行器对象,变体机构和包含变体机构的飞机结构设计，是单-双折叠翼变体飞行器设,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,105,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0521
SR0103,SE0168,结构设计,结构部件,包括,SE0304,气动设计,性能指标,包含变体机构的飞机结构设计，也同样与飞机的总体方案设计、气动设计、飞,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,105,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0456
SR0104,SE0171,翼型,结构部件,包括,SE0115,上机翼,结构部件,替换为弦长1m 的无弯度的NACA0012 翼型，重新组成了167 组上机翼弯度,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,66,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0102
SR0105,SE0171,翼型,结构部件,包括,SE0116,下机翼,结构部件,数包括：上翼的弦长和翼型、下翼的弦长和翼型、上翼相对于下翼的安装角、,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,53,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0185
SR0106,SE0171,翼型,结构部件,包括,SE0254,升力,性能指标,对于一个二维翼型而言，其升力曲线包括三个主要参数：升力线斜率、零,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,55,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0510
SR0107,SE0172,翼根,结构部件,包括,SE0176,蒙皮,结构部件,腹板，并通过腹板传递到机翼根部。蒙皮和腹板组成的闭合式结构主要承受扭,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,118,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0459
SR0108,SE0175,翼面积,结构部件,包括,SE0171,翼型,结构部件,翼面积和形状等，中等尺度变构包括变翼型弯度、,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,3,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0556
SR0109,SE0428,背景网格,研究方法,包括,SE0129,固定机翼,结构部件,格两部分，其中背景网格包括机身、固定机翼、对称面和流场网格，网格量约,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,81,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0213
SR0110,SE0327,诱导阻力,性能指标,包括,SE0337,阻力,性能指标,起的局部流动分离导致的，同时，含连杆构型的诱导阻力系数相较于不包含连,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0452
SR0111,SE0327,诱导阻力,性能指标,包括,SE0338,阻力系数,性能指标,起的局部流动分离导致的，同时，含连杆构型的诱导阻力系数相较于不包含连,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0210
SR0112,SE0337,阻力,性能指标,包括,SE0273,摩擦阻力,性能指标,零升阻力的主要组成部分是摩擦阻力，减阻比较困难，而诱导阻力则反比于飞机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0376
SR0113,SE0337,阻力,性能指标,包括,SE0327,诱导阻力,性能指标,对于亚声速飞行器来说，零升阻力和诱导阻力是飞机总阻力的两个主要组成,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0476
SR0114,SE0338,阻力系数,性能指标,包括,SE0337,阻力,性能指标,起的局部流动分离导致的，同时，含连杆构型的诱导阻力系数相较于不包含连,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,80,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0451
SR0115,SE0340,零升阻力,性能指标,包括,SE0273,摩擦阻力,性能指标,零升阻力的主要组成部分是摩擦阻力，减阻比较困难，而诱导阻力则反比于飞机,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,20,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0139
SR0116,SE0340,零升阻力,性能指标,包括,SE0327,诱导阻力,性能指标,对于亚声速飞行器来说，零升阻力和诱导阻力是飞机总阻力的两个主要组成,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0247
SR0117,SE0340,零升阻力,性能指标,包括,SE0337,阻力,性能指标,对于亚声速飞行器来说，零升阻力和诱导阻力是飞机总阻力的两个主要组成,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,19,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0475
SR0118,SE0350,马赫数,性能指标,包括,SE0278,攻角,性能指标,4.41 所示。计算中来流马赫数为0.2，雷诺数为400 万，来流攻角包括2 度和,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,81,0.83,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0351
SR0119,SE0186,压电作动器,机构/执行系统,实现,SE0083,连续变弯度机翼,变形方式,航 空 学 报 629595-5 装置(Adaptive Trailing Edge Device， ATED)可以 实现后缘的智能变弯度，有效降低了飞行油耗 ［15］。 项目过程中开展了多次风洞试验，充分验证了前 缘、后缘、翼梢变形的可行性。 2014 年，NASA 组织开展了自适应柔性后缘 (Adaptive Compliant Trailing Edg…,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,5,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0025
SR0120,SE0098,展开构型,气动布局,实现,SE0352,高升阻比特性,性能指标,在大攻角下实现稳定飞行。展开构型在低马赫数下呈现出高升阻比特性，利于低空滑翔。在跨域飞行中，通过变构技术将两,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0063
SR0121,SE0102,折叠构型,气动布局,实现,SE0353,高空减速性能,性能指标,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0062
SR0122,SE0163,活动机翼,结构部件,实现,SE0089,单翼构型,气动布局,图 6.7 活动机翼处于单翼构型时连杆扭转引起的变形 ................................ 92,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,15,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0041
SR0123,SE0078,滑动蒙皮,变形方式,实现,SE0258,后掠角,性能指标,刘欣煜等 以一种滑动蒙皮变后掠翼飞行器为研究,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0016
SR0124,SE0078,滑动蒙皮,变形方式,实现,SE0175,翼面积,结构部件,采用滑动蒙皮技术，可以实现机翼翼面积、展长、,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,4,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0015
SR0125,SE0440,ACADO,项目/机构,应用于,SE0474,多学科总体设计,专业概念,在本章中，基于课题组自主研发的ACADO 多学科总体设计平台，综合分析,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,34,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0050
SR0126,SE0401,CFD方法,研究方法,应用于,SE0299,气动性能,性能指标,力的空天飞行器设计方案。通过计算流体力学(CFD)方法，对折叠构型和展开构型的空天飞行器在不同高度、不同马赫数、,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,1,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0064
SR0127,SE0402,RANS方程,研究方法,应用于,SE0422,气动仿真,研究方法,"斯(Reynolds-averaged Navier Stokes, RANS)方程。",D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,3,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0065
SR0128,SE0202,主动流动控制,控制方法,应用于,SE0486,非稳态流动,专业概念,宽域高超声速变构飞行器高效主动流动控制方,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,30,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0078
SR0129,SE0041,伸缩翼,变形方式,应用于,SE0058,变形方式,变形方式,伸缩翼 多用于低速飞行器，变形方式简单易实现,D1_空天变构飞行技术研究现状与未来发展研判_刘思佳,2,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0313
SR0130,SE0041,伸缩翼,变形方式,应用于,SE0067,折叠翼,变形方式,可应用于伸缩机翼、滑动蒙皮机翼和折叠机翼的,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,35,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0327
SR0131,SE0041,伸缩翼,变形方式,应用于,SE0078,滑动蒙皮,变形方式,可应用于伸缩机翼、滑动蒙皮机翼和折叠机翼的,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,35,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0325
SR0132,SE0248,俯仰力矩系数,性能指标,应用于,SE0319,纵向静稳定性,性能指标,下，折叠构型的俯仰力矩系数随攻角的变化曲线。,D3_跨域变构飞行器变形方案设计及气动特性分析_安英韬,4,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0069
SR0133,SE0043,偏转弹头,变形方式,应用于,SE0212,姿态控制,控制方法,式，如自适应偏转弹头、可变进气道、倾转机翼技,D6_变体飞行器变形方式及气动布局设计关键技术研究进展,2,0.92,1,规则抽取+标准实体映射+重复三元组去重,高置信通过,R0072
SR0134,SE0469,公转角,专业概念,应用于,SE0088,单翼,气动布局,个金属转轴分别固连有一个角度传感器，用于测量自转和公转角度，在单翼模,D4_单-双折叠翼变体飞行器总体设计研究_郭廷宇,143,0.86,1,规则抽取+标准实体映射+重复三元组去重,已规范化,R0246
